,주소,충전소명,위도,경도
120,서울특별시 광진구 뚝섬로52길 74-1,자양2동 유수지 주차장,37.5299304,127.0770995
121,서울특별시 광진구 면목로 13,서울시 광진구 군자동주민센터,37.55548521,127.07534938
123,서울특별시 광진구 면목로 74,서울시한국천주교 중앙협의회,37.560132723,127.07908403
124,서울특별시 광진구 아차산로 311,테라팰리스건대2차아파트,37.53829,127.07793
125,서울특별시 광진구 아차산로 431,서울시 광진구 강변SK뷰아파트,37.53865397,127.0901908
126,서울특별시 광진구 아차산로 471,칠성실업(주)_씨에스플라자,37.54042,127.09397
127,서울특별시 광진구 아차산로 522,서울광진 광장현대8단지아파트 지상주차장,37.541883,127.0999418
128,서울특별시 광진구 아차산로 563,대한제지(주),37.544132,127.10294399
129,서울특별시 광진구 아차산로28길 20,서울시 광진구 행복제2거주자P,37.5397729,127.0663502
130,서울특별시 광진구 아차산로30길 36,서울시 광진구 동부여성발전센터,37.5394028,127.0667179
131,서울특별시 광진구 아차산로36길 13,금강케이씨씨아파트,37.53772077,127.07433445
132,서울특별시 광진구 아차산로57길 18,구의빌 501호,37.539284,127.088435
133,서울특별시 광진구 아차산로69길 29,서울시광장11차현대홈타운,37.543448368,127.09690453
134,서울특별시 광진구 아차산로70길 62,광장현대3단지아파트,37.5406134,127.09857
135,서울특별시 광진구 아차산로78가길 17,현대리버빌,37.5492,127.1096
136,서울특별시 광진구 아차산로78길 10,서울광진워커힐푸르지오101동,37.5496438,127.1087684
137,서울특별시 광진구 아차산로78길 44,크레스코빌딩 충전소(ENH),37.55079,127.1099
138,서울특별시 광진구 아차산로78길 7,광장 유진스웰,37.5503756,127.1092971
139,서울특별시 광진구 아차산로78길 7,서울광진 광장유진스웰,37.5503756,127.1092954
140,서울특별시 광진구 아차산로78길 90,광진정보도서관,37.5511429,127.1108016
141,서울특별시 광진구 영화사로20길 25,서울 광진구 영화사로20길 25 (저압수용가),37.550022,127.100397
142,서울특별시 광진구 용마산로 127,국립정신건강센터,37.5650127,127.0857921
143,서울특별시 광진구 용마산로 127,국립정신건강센터,37.5650863,127.0857767
144,서울특별시 광진구 용마산로 174,서울시 광진구 중곡동SK아파트,37.569284,127.0865771
145,서울특별시 광진구 용마산로22길 11-32,골드팰리스 (중곡동),37.564983,127.087617
146,서울특별시 광진구 용마산로33길 25,중곡3동 마을공원 공영주차장,37.5699205,127.0846836
148,서울특별시 광진구 용마산로33길 25,광진 마을공원 공영주차장,37.56995827,127.0846588
149,서울특별시 광진구 워커힐로 177,포르쉐 데스티네이션 비스타워커힐 서울,37.5551079,127.11136489
150,서울특별시 광진구 워커힐로 177,서울광진 그랜드워커힐서울호텔 지상2층,37.558956652,127.11222511
151,서울특별시 광진구 워커힐로 177,포르쉐 데스티네이션 그랜드워커힐 서울,37.5551690,127.1107738
152,서울특별시 광진구 워커힐로 177,포르쉐 데스티네이션 비스타워커힐 서울,37.5551690,127.1107738
153,서울특별시 광진구 워커힐로 177,서울시 광진구 그랜드워커힐서울,37.5586287,127.1117068
154,서울특별시 광진구 워커힐로 177,서울광진 그랜드워커힐서울호텔,37.5586287,127.1117068
155,서울특별시 광진구 워커힐로 177,그랜드 워커힐 서울주차타워,37.5586287,127.1117068
156,서울특별시 광진구 워커힐로 177,포르쉐 데스티네이션 그랜드워커힐 서울,37.5552419,127.10897855
158,서울특별시 광진구 자양3동 510-8,뚝도충전소,37.536346,127.069476
159,서울특별시 광진구 자양3동 510-8,뚝도충전소,37.5361957,127.0694660
160,서울특별시 광진구 자양동 5-5,자양4동 공영주차장,37.5385512,127.0681489
162,서울특별시 광진구 자양동 97-1,한화꿈에그린아파트 거주자우선주차장,37.532593767,127.06326722
163,서울특별시 광진구 자양동 97-1 신양중학교 정문 앞신양중학교 정문 앞,한화꿈에그린아파트 거주자우선주차장,37.5329186,127.0617156
164,서울특별시 광진구 자양로 103,구의스타주유소,37.5368392,127.0839458
165,서울특별시 광진구 자양로 109,자양동구의현대홈시티,37.5374081,127.083099
166,서울특별시 광진구 자양로 113,구의 현대하이엘아파트,37.5379,127.08297
167,서울특별시 광진구 자양로 117,광진구청 주차장,37.538612,127.082165
168,서울특별시 광진구 자양로 117,광진구청 주차장,37.5386170,127.0823750
169,서울특별시 광진구 자양로 307,구의2동 주택가 공동주차장,37.5529358,127.0928427
170,서울특별시 광진구 자양로 307,광진 구의2 주택가공동,37.55293581,127.0928427
171,서울특별시 광진구 자양로13길 37,서울시 자양1동 주민센터,37.5345080,127.0824380
172,서울특별시 광진구 자양로13길 37 ,서울시 자양1동 주민센터,37.534496598,127.0823942982
173,서울특별시 광진구 자양로26길 71,(딜라이브)_서울광진 새한아파트,37.5408398,127.08839659
174,서울특별시 광진구 자양로3가길 26,서울시 자양2동 주민센터,37.5288250,127.0844380
175,서울특별시 광진구 자양로3길 55,서울시 광진구 경남아너스빌,37.529476849,127.08393192
176,서울특별시 광진구 자양로44길 45,자양로44길 45 1층,37.5501835,127.0940162
177,서울특별시 광진구 자양로44나길 17,솔라빌리지,37.550496927,127.09462499
178,서울특별시 광진구 자양로5길 33,서울광진구 YM프라젠스파아파트,37.5309217,127.084141
179,서울특별시 광진구 자양번영로 3,신흥운수,37.5300717,127.0745865
180,서울특별시 광진구 자양번영로 43-2,서울시 광진구 송림식당길공영P,37.533487926,127.07566338
181,서울특별시 광진구 자양번영로 45,자양우성1차아파트 앞 전기차 충전소,37.533865784,127.07583823
182,서울특별시 광진구 자양번영로 45 노상공영주차장 유료 42번노상공영주차장 유료 42번,자양우성1차아파트 앞 전기차 충전소,37.5337203,127.0756365
183,서울특별시 광진구 자양번영로 50,진연빌5 ,37.53391,127.07615
184,서울특별시 광진구 자양번영로3길 65,광진구 자양동 거주자우선주차장 가로등형 충전기,37.532648,127.0708789
185,서울특별시 광진구 자양번영로3길 65 (서울특별시 광진구 뚝섬로36길 39 전기차충전소)구획번호 620-2 옆,광진구 자양동 거주자우선주차장 가로등형 충전기,37.5324954,127.0715987
186,서울특별시 광진구 천호대로 549 (중곡동),서울성북 ㈜삼원특수지,37.5576985,127.0792261
187,서울특별시 광진구 천호대로 560,서울광진 호텔부티크나인,37.5564558,127.0801062
188,서울특별시 광진구 천호대로 670,썬-타워빌딩(광진),37.55109,127.089588
189,서울특별시 광진구 천호대로 700,스타파크 ,37.549,127.09205
190,서울특별시 광진구 천호대로 788,광진구청 행정차고지(청소과),37.545516744,127.10072958
191,서울특별시 광진구 천호대로 788,광진구 청소과 행정차고지,37.5455167,127.1007296
192,서울특별시 광진구 천호대로112길 55,서울시 능동 주민센터,37.5537803,127.0804994
193,서울특별시 광진구 천호대로112길 56,능동공영주차장,37.5540417,127.0802433
194,서울특별시 광진구 천호대로112길 56,광진 능동 공영주차장,37.55404174,127.0802433
195,서울특별시 광진구 천호대로115길 41,서울특별시 광진구 천호대로115길 41 (완속충전기),37.5571484,127.0846674
196,서울특별시 광진구 천호대로136길 55,서울시 구의2동 주민센터,37.5471504,127.0899608
